lambda,Hist_GUE,Semicircle
-1.1850,0.000000,0.000000
-1.1550,0.000000,0.000000
-1.1250,0.000000,0.000000
-1.0950,0.000000,0.000000
-1.0650,0.000000,0.000000
-1.0350,0.000167,0.000000
-1.0050,0.019167,0.000000
-0.9750,0.142417,0.141460
-0.9450,0.204667,0.208219
-0.9150,0.259167,0.256847
-0.8850,0.295167,0.296404
-0.8550,0.330417,0.330169
-0.8250,0.360833,0.359775
-0.7950,0.383750,0.386180
-0.7650,0.411000,0.410002
-0.7350,0.434500,0.431671
-0.7050,0.449083,0.451495
-0.6750,0.468333,0.469709
-0.6450,0.486167,0.486494
-0.6150,0.504667,0.501992
-0.5850,0.514417,0.516320
-0.5550,0.530833,0.529572
-0.5250,0.537500,0.541829
-0.4950,0.552833,0.553154
-0.4650,0.564500,0.563606
-0.4350,0.574500,0.573232
-0.4050,0.584000,0.582072
-0.3750,0.587917,0.590162
-0.3450,0.599583,0.597533
-0.3150,0.602250,0.604211
-0.2850,0.610083,0.610218
-0.2550,0.617000,0.615574
-0.2250,0.621750,0.620296
-0.1950,0.618667,0.624399
-0.1650,0.630000,0.627894
-0.1350,0.629167,0.630792
-0.1050,0.636167,0.633101
-0.0750,0.633333,0.634827
-0.0450,0.632333,0.635975
-0.0150,0.639000,0.636548
0.0150,0.637667,0.636548
0.0450,0.635917,0.635975
0.0750,0.629500,0.634827
0.1050,0.636500,0.633101
0.1350,0.629667,0.630792
0.1650,0.628333,0.627894
0.1950,0.624833,0.624399
0.2250,0.620750,0.620296
0.2550,0.616750,0.615574
0.2850,0.608333,0.610218
0.3150,0.604083,0.604211
0.3450,0.603333,0.597533
0.3750,0.584667,0.590162
0.4050,0.582250,0.582072
0.4350,0.573083,0.573232
0.4650,0.563667,0.563606
0.4950,0.555583,0.553154
0.5250,0.539417,0.541829
0.5550,0.532583,0.529572
0.5850,0.515917,0.516320
0.6150,0.499750,0.501992
0.6450,0.486750,0.486494
0.6750,0.474000,0.469709
0.7050,0.446667,0.451495
0.7350,0.431750,0.431671
0.7650,0.411500,0.410002
0.7950,0.385333,0.386180
0.8250,0.361333,0.359775
0.8550,0.330083,0.330169
0.8850,0.297417,0.296404
0.9150,0.253667,0.256847
0.9450,0.206667,0.208219
0.9750,0.140500,0.141460
1.0050,0.019667,0.000000
1.0350,0.000083,0.000000
1.0650,0.000000,0.000000
1.0950,0.000000,0.000000
1.1250,0.000000,0.000000
1.1550,0.000000,0.000000
1.1850,0.000000,0.000000
